mode,alpha_primary,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
top_k,0.4,128,0.3240382999981072,0.302325576543808,0.9756586168679108,0.359957563146563,0.7215901006889417,0.4803150576157673,128.0,63.8514404296875
threshold,1.0,0.04,0.3222905948262411,0.29527559876441956,0.9674388483054797,0.3021170182075823,0.8311315765883202,0.44314900509936733,175.6569366455078,63.8514404296875
threshold,0.5,0.1,0.3218118415724165,0.3174603283405304,0.9746034647532886,0.3531682236389544,0.7566457744445989,0.48156401801737203,136.79861450195312,63.8514404296875
threshold,0.9,0.05,0.3205197820155202,0.3085714280605316,0.9698037033990509,0.3187291029493558,0.8238169686731808,0.45963038155087593,165.03639221191406,63.8514404296875
threshold,0.3,0.3,0.31188213293223155,0.29230770468711853,0.9846516405716668,0.5085260164235751,0.4598424406808655,0.48296047403517256,57.738643646240234,63.8514404296875
threshold,0.4,0.45,0.3080329168005938,0.28070175647735596,0.9874670718489077,0.6795105264822706,0.37101444746090007,0.47996616697343353,34.8630485534668,63.8514404296875
top_k,0.95,160,0.3076747374935122,0.28901734948158264,0.9706951121926364,0.3244331906737384,0.8129700647162691,0.46378357151386074,160.0,63.8514404296875
threshold,0.3,0.125,0.3071296926444427,0.2946428656578064,0.9748699130339888,0.34921251754092003,0.7087512942842598,0.4678890166581427,129.59097290039062,63.8514404296875
top_k,1.0,160,0.3070580883573999,0.29012346267700195,0.9706381635681418,0.32370424828020794,0.8111434687887309,0.46274153415018243,160.0,63.8514404296875
top_k,0.3,128,0.3067808616923033,0.2857142984867096,0.974775387548082,0.3458258940293021,0.6932610041918773,0.46145824180967626,128.0,63.8514404296875
top_k,0.9,160,0.3066776995450526,0.2874999940395355,0.9706392404894515,0.3237180328729717,0.8111780104496749,0.46276123949429526,160.0,63.8514404296875
top_k,0.3,48,0.3060375658852654,0.2874999940395355,0.9852870882468295,0.5373682805580353,0.40396390231947255,0.4612131435543973,48.0,63.8514404296875
threshold,0.95,0.04,0.30602729132706386,0.28458496928215027,0.9657070178141246,0.2911385482627782,0.8362593683975055,0.43191021535258173,183.4053497314453,63.8514404296875
top_k,0.8,160,0.303114520319251,0.2839506268501282,0.9704160100865475,0.32086068371580106,0.8040180175882848,0.4586766031646314,160.0,63.8514404296875
threshold,0.6,0.6,0.30231859100808345,0.27419355511665344,0.9888568900810009,0.8921894403966694,0.3243790930840193,0.4757768980050711,23.214881896972656,63.8514404296875
top_k,0.4,32,0.30151051065230117,0.2950819730758667,0.9872638542336751,0.6825654439951688,0.34207675979482255,0.4557488937428882,32.0,63.8514404296875
threshold,0.4,0.1,0.29960584269636714,0.2924528419971466,0.9722756095989996,0.32894106727800343,0.7485054563487984,0.4570327682639861,145.29396057128906,63.8514404296875
threshold,0.6,0.075,0.2995202011539644,0.2978723347187042,0.9702784077482539,0.3177149218236098,0.7900886816023712,0.4531903722513728,158.78480529785156,63.8514404296875
top_k,0.7,160,0.29885041247989735,0.28125,0.9701411643837302,0.31734265871973955,0.7952024922630792,0.4536475178421335,160.0,63.8514404296875
threshold,0.3,0.35,0.2973922412312955,0.2750000059604645,0.9853475240450887,0.5395666458615069,0.40951441826497237,0.4656300277121767,48.461273193359375,63.8514404296875
top_k,0.6,160,0.2938647469198438,0.2750000059604645,0.9698172674793559,0.31319677834374837,0.7848136765239246,0.44772090101278433,160.0,63.8514404296875
threshold,0.2,0.15,0.29385324998851214,0.27659574151039124,0.9761107058696109,0.3533317475959088,0.6413769621925073,0.45564865510715735,115.90479278564453,63.8514404296875
threshold,0.4,0.5,0.29280083136095947,0.26530611515045166,0.9876745843288872,0.722855616939685,0.33950505089549254,0.4620147195759616,29.989234924316406,63.8514404296875
threshold,0.9,0.8,0.2885804043645343,0.24637681245803833,0.9889495309546159,0.9464287966342383,0.3085919091916182,0.46542701313457197,20.81935691833496,63.8514404296875
